latitude,longitude,r,ssr,ssrc,u100,v100,t2m,tcc
90,0.25,94.72861,8.64E-11,0,-0.035339355,0.13038158,257.8967,0.9717493
90,0.25,93.90722,8.64E-11,0,0.073272705,-0.011245728,255.74634,0.95429707
90,0.25,99.96533,8.64E-11,0,-0.04270935,0.029226303,251.11473,0.96718675
90,0.25,97.99246,8.64E-11,0,-0.29234314,-0.07414627,249.271,0.74062824
90,0.25,108.0216,8.64E-11,0,-0.035654068,-0.02107811,243.75313,0.8609866
90,0.25,81.74127,124416.19,173540.06,-0.1663971,-0.096232414,248.75317,0.7738581
90,0.25,98.13885,1586688,2732544,0.110839844,0.13171673,257.3147,0.96389484
90,0.25,88.52134,4007936,6204928,0.089279175,-0.016204834,265.1488,0.9288236
90,0.25,83.47702,9048064,12168192,0.046829224,0.098358154,272.71533,0.78543675
90,0.25,96.23964,6542336,13980160,-0.020355225,0.049453735,273.96848,0.9610901
90,0.25,90.2144,4886016,8309760,0.10722351,0.036099434,272.0187,0.8920297
90,0.25,95.767586,436200.88,866813.8,-0.06562805,-0.010004997,268.0228,0.96009827
90,0.25,96.68184,8.64E-11,0,-0.091049194,0.019276619,257.1034,0.9791939
90,0.25,97.997856,8.64E-11,0,-0.06694031,0.043701172,251.90154,0.9714963
90,0.25,102.19838,8.64E-11,0,-0.16670609,-0.04505539,252.88838,0.9575686
90,0.25,101.28984,8.64E-11,0,0.069457054,0.07296753,251.47055,0.92507327
90,0.25,99.69153,8.64E-11,0,-0.021560669,0.06352234,251.41057,0.9043063
90,0.25,103.78137,102833.5,162950.62,-0.07696533,-0.020236969,251.5063,0.973106
90,0.25,96.028625,1788928,2826752,0.062698364,0.05592251,256.83734,0.9546993
90,0.25,87.64276,4445184,6288896,0.13397217,0.026680946,265.0227,0.8970776
90,0.25,88.15512,8261632,12282368,0.12887573,-0.046502113,272.8215,0.86144453
90,0.25,96.08438,6946816,13918720,-0.16098022,-0.023529053,273.9532,0.9663269
90,0.25,95.90328,3687936,7879168,-0.11495972,-0.029129028,273.06244,0.96435547
90,0.25,95.28525,445678.06,902425.56,0.21383667,0.11242294,267.18082,0.98976135
90,0.25,95.81806,8.64E-11,0,-0.05633545,0.000610352,260.7721,0.9816731
90,0.25,100.40724,8.64E-11,0,-0.028007507,0.06453037,252.38362,0.9268377
90,0.25,97.868004,8.64E-11,0,-0.13589478,0.05838585,252.46095,0.9406075
90,0.25,96.12444,8.64E-11,0,-0.15563011,-0.20133972,247.86041,0.85871464
90,0.25,96.33468,8.64E-11,0,0.000915527,0.03554821,250.77211,0.9614138
90,0.25,98.4841,127459.19,177389.69,-0.046035767,-0.03696823,253.26758,0.9866711
90,0.25,92.096924,1600512,2902528,0.03579712,0.06653118,260.42987,0.9832779
